iter	Logloss
0	0.6835150235
1	0.6752031852
2	0.6650266786
3	0.6550772109
4	0.6458064277
5	0.6370938803
6	0.6283399794
7	0.6203805675
8	0.612650148
9	0.6044894232
10	0.5962858338
11	0.5902003044
12	0.5824035792
13	0.5757704288
14	0.5696109274
15	0.5620961581
16	0.5547666319
17	0.5484484981
18	0.5425952414
19	0.5381281019
20	0.5319288318
21	0.5251806877
22	0.5204429442
23	0.5152924026
24	0.5107647071
25	0.5063517105
26	0.5010853643
27	0.4949915052
28	0.4906663388
29	0.4856208396
30	0.4801150704
31	0.4756931545
32	0.471354609
33	0.4667014154
34	0.4639137747
35	0.4591404274
36	0.4553679683
37	0.4503536501
38	0.4468489937
39	0.4420020431
40	0.4372046282
41	0.4333027273
42	0.4291821171
43	0.4256744385
44	0.4222070445
45	0.4183288427
46	0.4147900568
47	0.4111721758
48	0.408277355
49	0.4039301481
50	0.4006851491
51	0.3966299601
52	0.3932724736
53	0.3900748727
54	0.387284136
55	0.3844933256
56	0.3814906613
57	0.3791584992
58	0.376759589
59	0.3739459641
60	0.3712713269
61	0.3678863452
62	0.3643771554
63	0.3612660578
64	0.3589233914
65	0.3559092646
66	0.3524830399
67	0.349935633
68	0.3480552636
69	0.3453392361
70	0.3431662592
71	0.3407502842
72	0.3382590842
73	0.3357081759
74	0.3336481656
75	0.3312591332
76	0.3288426791
77	0.3263501891
78	0.3247107169
79	0.3218864404
80	0.3199698407
81	0.3183770663
82	0.3158072872
83	0.3145257332
84	0.3128884357
85	0.3109845885
86	0.3083222799
87	0.3059413007
88	0.3044717024
89	0.3025750054
90	0.3002812667
91	0.2989120852
92	0.2973316948
93	0.2953377507
94	0.2933722971
95	0.2919871565
96	0.2903955801
97	0.2883286038
98	0.2866985118
99	0.2851803729
100	0.2838965522
101	0.2821058559
102	0.2812544044
103	0.2792513935
104	0.2775480851
105	0.2772016295
106	0.2761397431
107	0.2741909119
108	0.2723945581
109	0.2709853315
110	0.2697463289
111	0.2685989343
112	0.2669202464
113	0.2658200287
114	0.2644387581
115	0.2632487385
116	0.2621267936
117	0.2608685701
118	0.2593720293
119	0.2577787206
120	0.2568727576
121	0.255388951
122	0.2542733824
123	0.2530816304
124	0.2516247109
125	0.2505950928
126	0.2494779209
127	0.2486117819
128	0.2478536891
129	0.2468366945
130	0.245934233
131	0.2446366831
132	0.2434945959
133	0.2426830052
134	0.2413185599
135	0.2401112911
136	0.2384639316
137	0.2377736741
138	0.2364374612
139	0.2356705228
140	0.2345313473
141	0.2333306944
142	0.2322281363
143	0.2310627371
144	0.2298397488
145	0.2288863509
146	0.2278660208
147	0.226647916
148	0.2258457423
149	0.224522024
150	0.2234841314
151	0.222565416
152	0.2217885814
153	0.2210463188
154	0.2204231225
155	0.2195425909
156	0.2183932982
157	0.217284198
158	0.2164384777
159	0.2153020297
160	0.2142450452
161	0.2129775522
162	0.212320853
163	0.2112870147
164	0.210777854
165	0.210064524
166	0.2092804655
167	0.2079648741
168	0.2071901036
169	0.2061782321
170	0.2056347944
171	0.2052068664
172	0.2046038863
173	0.2035985385
174	0.2027614796
175	0.2023423421
176	0.2017907037
177	0.2011029156
178	0.2002383246
179	0.199688916
180	0.1990646325
181	0.1983297597
182	0.1979168325
183	0.1972324906
184	0.1966422261
185	0.1957593909
186	0.1948434212
187	0.1942274674
188	0.1938076296
189	0.1928801974
190	0.1923008426
191	0.1915113661
192	0.1905943829
193	0.1899210612
194	0.189060635
195	0.1882240185
196	0.1874676764
197	0.1867939677
198	0.1859157581
199	0.1853937158
200	0.1845672902
201	0.184045377
202	0.1832952269
203	0.182442596
204	0.1818281533
205	0.1810190505
206	0.1803216612
207	0.1795888707
208	0.1791884749
209	0.1784257751
210	0.1780089963
211	0.1774304892
212	0.1767990923
213	0.1762024147
214	0.1755926713
215	0.1747547832
216	0.1744314185
217	0.1738806462
218	0.1732146037
219	0.172713183
220	0.1722097535
221	0.1717790244
222	0.1710646072
223	0.1703721936
224	0.1699135638
225	0.1694213204
226	0.16892353
227	0.1680678953
228	0.167097967
229	0.1665494615
230	0.1659912257
231	0.1654664192
232	0.1650201917
233	0.1642529032
234	0.1636163647
235	0.1631177451
236	0.1626372406
237	0.162116599
238	0.1612936932
239	0.1606538192
240	0.1600732481
241	0.1593805212
242	0.158514935
243	0.1580463723
244	0.1574311187
